product_id,brand,name,major_category,middle_category,price,sizes,max_size,body_concerns,tpo,fit,material,color,same_day,badge,rank_score,description
P011,MISHARP,라벨르 트임 긴팔 맨투맨,상의,맨투맨·후드,45900,55|66|77,77,뱃살커버|팔뚝커버,데일리|출근,여유,면,크림|네이비,True,NEW,94,밑단 트임이 허리선을 답답하지 않게 정리해 맨투맨이지만 여성스럽게 입기 좋습니다.
P012,DAILY NOTE,올데이 밴딩 와이드 팬츠,하의,팬츠,39900,55|66|77|88,88,하체커버|힙커버,출근|데일리|여행,와이드,면,블랙|베이지,True,BEST,99,허리밴딩과 여유 있는 와이드 실루엣으로 하체를 편안하게 감싸며 출근과 여행에 모두 활용됩니다.
P013,MISHARP,올데이 다잉 배기핏 코튼 팬츠,하의,팬츠,49800,55|66|77,77,하체커버|힙커버,데일리|여행,배기·아방,면,브라운|카키,True,BEST,97,탄탄한 코튼과 배기 실루엣이 허벅지와 힙을 자연스럽게 커버합니다.
P014,MORE FIT,77 플러스 세미와이드 팬츠,하의,팬츠,42900,66|77|88,88,하체커버,출근|데일리,세미와이드,폴리에스터,블랙|네이비,True,77,96,허리와 힙은 편안하고 다리선은 곧게 떨어져 출근용으로 활용하기 좋습니다.
P015,MONODAY,클린 스트레이트 슬랙스,하의,슬랙스,46900,55|66|77,77,하체커버,출근|모임,일자,폴리에스터,블랙|그레이,True,BEST,95,군더더기 없는 일자 라인으로 단정한 오피스 스타일을 완성합니다.
P016,MISHARP,매그 세미와이드 슬랙스,하의,슬랙스,52900,55|66|77,77,하체커버|힙커버,출근|모임,세미와이드,폴리에스터,블랙|네이비,True,BEST,99,허리와 힙을 안정감 있게 잡고 아래로 자연스럽게 떨어져 체형 보정에 유리합니다.
P017,DAILY NOTE,소프트 워싱 데님,하의,데님,45900,55|66|77,77,하체커버,데일리|여행,일자,데님,블루,False,NEW,88,부드러운 워싱과 여유 있는 일자핏으로 매일 편하게 입기 좋습니다.
P018,LUMIERE,플레어 밴딩 스커트,하의,스커트,38900,55|66|77,77,하체커버|힙커버,출근|모임,플레어,폴리에스터,블랙|브라운,True,MD,90,허리밴딩과 자연스러운 플레어가 하체를 부드럽게 커버합니다.
P019,MISHARP,살랑 셔링 롱 원피스,원피스,데일리 원피스,59900,55|66|77,77,팔뚝커버|뱃살커버|하체커버,데일리|여행,여유,레이온,네이비|브라운,True,BEST,98,한 벌로 체형을 자연스럽게 감싸며 여행과 일상에 편하게 입기 좋은 롱 원피스입니다.
P020,ATELIER N,클래식 셔츠 롱 원피스,원피스,셔츠 원피스,67900,55|66|77,77,뱃살커버|하체커버,출근|모임,여유,면,네이비|베이지,True,NEW,92,셔츠형 상체와 롱기장으로 단정하면서 체형을 자연스럽게 커버합니다.
P021,LUMIERE,소프트 니트 원피스,원피스,니트 원피스,72900,55|66|77,77,뱃살커버,모임|출근,스탠다드,니트,브라운|블랙,False,MD,87,유연한 니트 소재와 부담 없는 일자 라인으로 단정한 모임룩에 어울립니다.
P022,ATELIER N,페미닌 오피스 원피스,원피스,오피스·모임 원피스,78900,55|66|77,77,팔뚝커버|뱃살커버,출근|모임,스탠다드,폴리에스터,네이비|블랙,True,BEST,95,목선과 허리선을 과하지 않게 정리해 격식 있는 자리에 활용하기 좋습니다.
P023,MISHARP,가벼운 노카라 자켓,아우터,자켓,69900,55|66|77,77,팔뚝커버|뱃살커버,출근|모임,여유,폴리에스터,베이지|블랙,True,BEST,96,노카라 디자인과 가벼운 소재로 블라우스나 티셔츠 위에 부담 없이 걸치기 좋습니다.
P024,MONODAY,린넨 블렌드 테일러드 자켓,아우터,자켓,79900,55|66|77,77,팔뚝커버,출근|모임,스탠다드,린넨,베이지|네이비,False,NEW,88,깔끔한 테일러드 라인과 린넨 블렌드 소재로 간절기 오피스룩에 적합합니다.
P025,LUMIERE,소프트 라운드 가디건,아우터,가디건,45900,55|66|77,77,팔뚝커버,데일리|출근,여유,니트,핑크|아이보리,True,MD,90,"단추를 잠그면 니트처럼, 열면 가디건으로 활용할 수 있습니다."
P026,DAILY NOTE,경량 바람막이 점퍼,아우터,점퍼,54900,55|66|77|88,88,팔뚝커버|힙커버,여행|주말,루즈,나일론,베이지|카키,True,NEW,91,가볍고 여유 있는 실루엣으로 여행과 주말 외출에 실용적입니다.
P027,MISHARP,컴포트 니트 팬츠 세트,세트,상하세트,79900,55|66|77,77,뱃살커버|하체커버,데일리|여행,여유,니트,베이지|네이비,True,BEST,95,상의와 팬츠를 한 번에 맞춰 입을 수 있어 여행과 일상에서 활용도가 높습니다.
P028,ATELIER N,자켓 팬츠 셋업,세트,셋업,119000,55|66|77,77,하체커버,출근|모임,스탠다드,폴리에스터,네이비|블랙,False,MD,89,격식 있는 출근과 모임에 활용 가능한 단정한 셋업입니다.
P029,MISHARP,레이어드 실키 나시,이너,나시·민소매,19900,55|66|77,77,,데일리|출근,스탠다드,레이온,아이보리|블랙,True,BEST,87,자켓과 셔츠 안에 매끈하게 받쳐 입기 좋은 기본 이너입니다.
P030,MORE FIT,소프트 발열 이너티,이너,이너티,25900,66|77|88,88,팔뚝커버,데일리,스탠다드,레이온,블랙|베이지,False,,82,얇지만 따뜻한 촉감으로 겨울 레이어드에 유용합니다.
P031,MISHARP,데일리 소프트 로퍼,패션잡화,신발,59900,230|235|240|245|250,0,,출근|모임,기본,합성피혁,블랙|브라운,True,BEST,89,단정한 팬츠와 스커트에 두루 잘 어울리는 기본 로퍼입니다.
P032,LUMIERE,미니 토트 크로스백,패션잡화,가방,49900,FREE,0,,데일리|모임,기본,합성피혁,브라운|블랙,True,NEW,84,토트와 크로스 두 방식으로 들 수 있는 실용적인 미니백입니다.
P033,MISHARP,간절기 체크 스카프,패션잡화,액세서리,22900,FREE,0,,출근|여행,기본,폴리에스터,브라운|네이비,True,MD,83,심플한 룩에 가볍게 포인트를 더할 수 있는 체크 스카프입니다.
P034,MONODAY,스트라이프 볼륨 맨투맨,상의,맨투맨·후드,48900,55|66|77,77,팔뚝커버|뱃살커버,데일리|출근,여유,면,네이비|아이보리,True,NEW,91,클래식한 스트라이프와 볼륨 소매로 편안하면서도 단정한 인상을 줍니다.
P035,ATELIER N,레이스 자수 블라우스,상의,블라우스,55900,55|66|77,77,팔뚝커버,모임|하객,여유,면,화이트|블랙,False,MD,88,섬세한 자수와 여유 있는 실루엣으로 여성스러운 모임룩에 적합합니다.
P036,MORE FIT,쿨링 와이드 치마바지,하의,치마바지,41900,66|77|88,88,하체커버|힙커버,데일리|여행,와이드,레이온,블랙|네이비,True,BEST,94,치마처럼 보이지만 팬츠 구조라 움직임이 편하고 하체 커버가 좋습니다.
